donation_id,state,age,gender,donor_type,spending_on_food,entertainment
1,AZ,30,F,one-time,232.56,224.23
2,AR,39,F,one-time,322.04,314.23
3,LA,24,F,recurring,197.8,165.23
4,MO,33,M,one-time,360.64,300.67
5,SD,67,M,one-time,264.75,190.67
6,TX,39,F,one-time,318.4,277.23
7,AR,37,F,one-time,164.02,119.23
8,MO,50,F,one-time,215.55,120
9,TX,29,F,one-time,307.9,329.23
10,MO,33,M,one-time,225.2,202.67
11,NM,27,F,one-time,264.79,302.23
12,AZ,37,F,one-time,218.88,256.23
13,MO,37,F,one-time,346.26,297.23
14,TX,42,M,recurring,220.89,226.67
15,AR,46,F,one-time,236.05,183.23
16,MO,37,F,one-time,274.24,236.23
17,MI,24,M,one-time,279.88,305.67
18,LA,35,F,one-time,318.14,120
19,TX,24,F,one-time,357.76,352.23
20,LA,37,F,one-time,242.01,253.23
21,TX,39,F,one-time,297.05,120
22,TX,47,M,one-time,273.64,225.67
23,AZ,38,M,one-time,236.97,213.67
24,TX,40,F,one-time,286.26,325.23
25,AR,37,M,one-time,278.37,243.67
26,TX,40,F,one-time,309.07,296.23
27,TX,50,M,one-time,341.26,252.67
28,TX,49,F,one-time,291.76,233.23
29,OK,29,M,one-time,371.48,300.67
30,LA,42,F,recurring,220.51,205.23
31,MO,55,M, ,210.1,204.67
32,AZ,36,M,one-time,228.43,199.67
33,LA,55,M,recurring,263.46,247.67
34,TX,51,M,one-time,208.67,164.67
35,MI,43,F,one-time,316.47,299.23
36,OK,39,F,one-time,303.27,280.23
37,LA,37,M,one-time,181.68,197.67
38,OK,36,F,one-time,379.6,120
39,OK,39,F,recurring,284.52,267.23
40,AR,26, ,one-time,277.82,150
41,TX,33,M,one-time,299.62,249.67
42,AR,35,M,one-time,317.99,277.67
43,TX,45,M,one-time,315.43,258.67
44,NM,26,M,one-time,350.64,356.67
45,TX,43, ,one-time,238.04,161
46,OK,47,F,one-time,271.31,239.23
47,MO,50,M,one-time,166.47,157.67
48,OK,43,M,one-time,258.74,214.67
49,AZ,52,M,one-time,298.11,270.67
50,MO,30,M,one-time,270.08,256.67
51,OK,34,F,one-time,336.35,120
52,AR,52,M,one-time,355.36,295.67
53,TX,42,F,one-time,368.04,304.23
54,AZ,37,M,one-time,192.82,183.67
55,NM,37,F,one-time,257.57,258.23
56,TX,30,M,one-time,155.77,158.67
57,MO,46,F,one-time,196.27,131.23
58,LA,46,M,one-time,218.06,224.67
59,OK,35,F,one-time,291.43,120
60,NM,29,M,one-time,352.57,315.67
61,MO,30,M,one-time,300.43,307.67
62,AZ,29,M,one-time,238.33,292.67
63,NM,53,F,one-time,421.37,120
64,NM,26,F,one-time,175.21,120
65,MI,39,F,one-time,350.53,309.23
66,OK,38,M,one-time,316.08,245.67
67,NM,43,M,one-time,234.06,232.67
68,AZ,29,M,one-time,270.38,258.67
69,OK,44,F,one-time,240.08,196.23
70,MI,50,M,recurring,306.59,244.67
71,MI,31,F,one-time,285.56,238.23
72,TX,42,F,one-time,336.68,251.23
73,OK,36,M,one-time,346.92,274.67
74,MI,41,M,recurring,313.37,250.67
75,MI,39,M,one-time,215.75,214.67
76,NM,25,M,one-time,288.81,256.67
77,AZ,41,F,one-time,238.65,219.23
78,OK,34,F,recurring,375.3,309.23
79,LA,27,F,one-time,283.72,290.23
80,LA,29,M,one-time,157.07,184.67
81,AR,43, ,recurring,326.63,250
82,MO,47, ,one-time,202.15,87
83,LA,44,F,one-time,213.22,191.23
84,MO,41, ,one-time,225.12,127
85,LA,50,M,one-time,228.28,237.67
86,MO,41,M,one-time,391.99,306.67
87,LA,15,M,one-time,211.06,136.67
88,LA,33, ,one-time,243.35,171
89,AZ,28,F,one-time,290.26,246.23
