donation_id,channel,campaign_name
1,organic,General
2,organic,General
3,organic,General
4,organic,General
5,email,Homelessness
6,organic,General
7,organic,General
8,org,General
9,display,Homelessness
10,organic,Homelessness
11,organic,Homelessness
12,sarch,General
13,display,General
14,sarch,Homelessness
15,organic,General
16,organic,General
17,display,General
18,search,General
19,display,General
20,sarch,Homelessness
21,organic,Poverty
22,organic,Homelessness
23,organic,General
24,display,Homelessness
25,organic,Homelessness
26,search,General
27,org,Homelessness
28,search,General
29,display,General
30,display,General
31,search,Poverty
32,organic,General
33,search,General
34,email,General
35,display,General
36,sarch,General
37,display,General
38,organic,Homelessness
39,sarch,General
40,display,General
41,display,General
42,display,General
43,display,General
44,organic,General
45,display,General
46,org,General
47,sarch,General
48,display,General
49,org,Homelessness
50,display,Homelessness
51,display,Homelessness
52,email,General
53,organic,Homelessness
54,display,Homelessness
55,display,Homelessness
56,organic,Homelessness
57,organic,General
58,organic,Homelessness
59,display,Homelessness
60,organic,Homelessness
61,organic,General
62,organic,Poverty
63,org,General
64,display,Homelessness
65,search,General
66,display,General
67,search,General
68,search,Poverty
69,organic,Homelessness
70,organic,Poverty
71,organic,Homelessness
72,organic,General
73,organic,Homelessness
74,sarch,Homelessness
75,sarch,Poverty
76,organic,Homelessness
77,organic,General
78,display,General
79,display,Homelessness
80,display,Homelessness
81,org,Homelessness
82,email,Homelessness
83,organic,Homelessness
84,organic,Homelessness
85,search,Homelessness
86,search,General
87,display,Homelessness
88,search,Homelessness
89,display,General
90,display,Homelessness
91,organic,Homelessness
92,organic,General
93,display,General
94,sarch,General
95,org,Homelessness
96,sarch,Homelessness
97,display,General
98,organic,General
99,search,Poverty
100,display,Homelessness
101,organic,General
102,search,Homelessness
103,display,Poverty
104,display,General
105,search,General
106,search,General
107,display,General
108,email,General
109,org,Poverty
110,organic,Homelessness
111,sarch,Homelessness
112,organic,General
113,display,General
114,organic,General
115,organic,General
116,display,Homelessness
117,display,General
118,sarch,General
119,organic,Homelessness
120,sarch,General
121,organic,Homelessness
122,search,General
123,organic,Homelessness
124,display,General
125,organic,General
126,search,Poverty
127,email,General
128,organic,General
129,organic,Homelessness
130,org,Poverty
131,organic,General
132,display,Homelessness
133,organic,General
134,email,Poverty
135,organic,General
136,display,General
137,org,General
138,search,Homelessness
139,search,General
140,display,Poverty
141,search,General
142,organic,General
143,search,General
144,sarch,Poverty
145,sarch,General
146,search,Homelessness
147,organic,General
148,display,Poverty
149,org,Poverty
150,organic,Homelessness
151,display,General
152,search,Homelessness
153,org,General
154,search,Poverty
155,organic,General
156,organic,Homelessness
157,email,Homelessness
158,search,Poverty
159,display,General
160,display,General
161,organic,General
162,email,General
163,email,General
164,organic,Homelessness
165,sarch,General
166,organic,General
167,org,General
168,display,General
169,display,General
170,display,Homelessness
171,organic,Homelessness
172,display,General
173,organic,General
174,display,Homelessness
175,organic,Poverty
176,org,Homelessness
177,display,General
178,organic,General
179,org,General
180,search,Homelessness
181,display,Homelessness
182,organic,Homelessness
183,organic,Poverty
184,display,General
185,organic,Homelessness
186,display,General
187,sarch,General
188,display,General
189,search,General
190,display,General
191,search,General
192,email,General
193,search,General
194,search,Homelessness
195,search,General
196,display,Homelessness
197,display,Poverty
198,organic,General
199,search,Poverty
200,organic,General
201,display,Poverty
202,search,Homelessness
203,display,General
204,organic,General
205,organic,Poverty
206,display,General
207,display,Homelessness
208,organic,Homelessness
209,search,General
210,organic,General
211,email,General
212,email,General
213,search,General
214,display,General
215,organic,Homelessness
216,display,Homelessness
217,display,Homelessness
218,organic,General
219,org,General
220,organic,General
221,display,General
222,search,General
223,sarch,General
224,organic,General
225,organic,General
226,organic,General
227,display,Poverty
228,organic,General
229,display,General
230,org,General
231,sarch,General
232,display,General
233,display,Poverty
234,search,General
235,display,General
236,organic,Homelessness
237,org,General
238,organic,Homelessness
239,organic,Homelessness
240,organic,Poverty
241,search,General
242,search,Homelessness
243,display,Homelessness
244,organic,Homelessness
245,sarch,Homelessness
246,display,General
247,display,General
248,sarch,Homelessness
249,organic,General
250,display,Homelessness
251,org,Homelessness
252,sarch,General
253,search,General
254,organic,Homelessness
255,display,General
256,organic,General
257,display,General
258,display,General
259,display,General
260,organic,Homelessness
261,display,General
262,organic,General
263,organic,Homelessness
264,search,General
265,organic,Homelessness
266,organic,General
267,organic,General
268,display,General
269,display,Homelessness
270,display,General
271,sarch,Poverty
272,search,Poverty
273,organic,General
274,organic,General
275,email,General
276,organic,General
277,organic,General
278,organic,General
279,display,Homelessness
280,display,Poverty
281,display,General
282,organic,General
283,search,Poverty
284,organic,Homelessness
285,display,General
286,organic,Poverty
287,display,General
288,display,Homelessness
289,organic,General
290,display,Poverty
291,email,General
292,organic,Poverty
293,organic,Homelessness
294,organic,General
295,email,Homelessness
296,search,Poverty
297,display,Homelessness
298,organic,Poverty
299,search,General
300,organic,General
301,organic,Homelessness
302,display,Homelessness
303,organic,Poverty
304,org,General
305,display,General
306,display,Poverty
307,organic,General
308,org,Homelessness
309,search,General
310,sarch,General
311,search,Poverty
312,display,Homelessness
313,display,General
314,search,General
315,organic,Homelessness
316,sarch,Poverty
317,organic,General
318,search,Homelessness
319,display,General
320,organic,General
321,display,General
322,search,General
323,display,Poverty
324,organic,General
325,search,Homelessness
326,sarch,General
327,organic,General
328,search,General
329,display,Homelessness
330,organic,Homelessness
331,sarch,Homelessness
332,sarch,General
333,sarch,General
334,display,General
335,display,Homelessness
336,display,Homelessness
337,search,Homelessness
338,organic,Homelessness
339,org,Homelessness
340,search,General
341,search,General
342,search,Homelessness
343,search,Homelessness
344,sarch,Homelessness
345,email,General
346,organic,General
347,display,General
348,search,General
349,org,General
350,display,Poverty
351,organic,General
352,organic,General
353,organic,General
354,organic,General
355,email,General
356,display,Poverty
357,organic,General
358,search,General
359,search,General
360,organic,Homelessness
361,organic,General
362,organic,Homelessness
363,display,Homelessness
364,organic,General
365,organic,General
366,search,General
367,search,Homelessness
368,display,Homelessness
369,organic,General
370,organic,General
371,organic,General
372,organic,General
373,organic,General
374,organic,Homelessness
375,organic,Homelessness
376,sarch,General
377,organic,General
378,display,Homelessness
379,display,General
380,org,Homelessness
381,organic,Homelessness
382,sarch,Homelessness
383,display,General
384,search,General
385,organic,General
386,email,Homelessness
387,display,General
388,organic,Homelessness
389,display,General
390,organic,General
391,search,General
392,organic,General
393,display,General
394,organic,Poverty
395,organic,Poverty
396,display,Homelessness
397,search,Homelessness
398,display,General
399,display,General
400,display,General
401,organic,General
402,display,General
403,organic,General
404,display,General
405,organic,General
406,organic,General
407,org,Homelessness
408,display,General
